14 df 38 7c 58 22 ee 53 30 08 4d f3 87 be 82 2f e5 33 00 8a
14 df 38 7b 78 23 0e 53 40 08 4d f3 87 b1 82 32 e5 34 00 8a
14 df 38 7a b8 23 4e 53 50 08 4d f3 87 ab 82 34 e5 35 00 8a
14 df 38 73 48 24 fe 53 d8 88 4d f3 87 2f 82 50 e5 3d 00 8a
14 df 38 72 98 25 2e 53 d8 80 4d f3 87 24 82 53 e5 3e 88 8a
14 df 38 71 e8 25 4e 53 e8 08 4d f3 87 19 82 55 e5 3f 88 8a
14 df 38 71 48 25 6e 53 f0 08 4d f3 87 0f 82 57 e5 3f 00 8a
14 df 38 70 98 25 9e 54 00 08 4d f3 87 04 82 5a e5 40 00 8a
14 df 38 6f f8 25 be 54 00 08 4d f3 86 fa 82 5d e5 41 88 8a
14 df 38 6f a8 25 de 54 18 88 4d f2 86 5c 82 80 e5 4b 00 8a
14 df 28 65 88 28 2e 54 b0 08 4d f1 86 54 82 83 e5 4c 00 8a
14 df 18 65 08 28 4e 54 c8 88 4d f1 86 4c 82 85 e5 4c 00 0a
14 df 18 64 98 28 6e 54 c8 08 4d f1 86 49 82 86 e5 4c 80 8a
14 df 08 60 68 29 4e 55 10 08 4d f0 86 03 82 95 e5 51 00 8a
14 df 08 5f f8 29 6e 55 18 80 4d f0 85 fd 82 96 e5 52 80 8a
14 df 08 5f 98 29 7e 55 20 08 4d f0 85 f6 82 98 e5 52 00 8a
14 df 08 5f 38 29 9e 55 28 88 4d f0 85 f0 82 9a e5 52 00 8a
14 df 08 5e d8 29 ae 55 20 08 4d f0 85 ea 82 9b e5 53 88 8a
14 df 08 5e 78 29 be 55 38 88 4d f0 85 e4 82 9c e5 53 00 8a
14 df 08 5e 18 29 ce 55 30 08 4d f0 85 e1 82 9c e5 53 00 8a
14 de e8 58 18 2b 3e 55 98 08 4d ee 85 7e 82 b4 e5 59 00 0a
14 de e8 57 c8 2b 4e 55 a0 08 4d ee 85 79 82 b5 e5 5a 00 8a
14 de e8 57 78 2b 6e 55 a0 88 4d ee 85 75 82 b6 e5 5a 80 8a
14 de e8 57 28 2b 7e 55 a0 88 4d ee 85 72 82 b7 e5 5a 08 8a
14 de c8 54 78 2c 1e 55 d0 08 4d ec 85 45 82 c2 e5 5e 00 8a
